time,AccX,AccY,AccZ,pressureTR, pressureBR, pressureTL, pressureBL,rawPressureTR,rawPressureBR,rawPressureTL,rawPressureBL
19:32:58.897757,-0.346154,0.185185,-0.942308,,,,,,,,
19:32:58.897924,-0.346154,0.148148,-0.942308,,,,,,,,
19:32:58.933699,-0.326923,0.203704,-0.923077,,,,,,,,
19:32:58.947681,-0.326923,0.148148,-0.923077,,,,,,,,
19:32:58.990933,-0.326923,0.203704,-0.923077,,,,,,,,
19:32:59.005444,-0.346154,0.185185,-0.961538,,,,,,,,
19:32:59.005806,-0.326923,0.203704,-0.923077,,,,,,,,
19:32:59.066113,-0.326923,0.185185,-1.000000,,,,,,,,
19:32:59.066273,-0.346154,0.185185,-0.942308,,,,,,,,
19:32:59.113546,-0.384615,0.166667,-0.942308,,,,,,,,
19:32:59.129777,-0.384615,0.203704,-0.942308,,,,,,,,
19:32:59.145700,-0.384615,0.148148,-0.942308,,,,,,,,
19:32:59.162265,-0.326923,0.148148,-0.903846,,,,,,,,
19:32:59.171903,-0.288462,0.203704,-0.884615,,,,,,,,
19:32:59.184736,-0.326923,0.203704,-0.903846,,,,,,,,
